Filefarm ; SOFT ; http://search.internet.com/cgi-bin/search.mydesktop.com?method=mainQuery&DB39=FileFarm&query=
Filez  ; SOFT ; http://search.filez.com/search.cgi?type=4&search=1&rows=20&key=
Freew. Publish. Site  ; SOFT ; http://www.katho.be/cgi-bin/search2.pl?boolean=AND&case=Insensitive&terms=
FreewareHome  ; SOFT ; http://www.freewarehome.com/cgi-bin/swishsearch/search.pl?swishindex=%2Fusr%2Fbin%2Fswish%2Findex.swish&keywords=
MacinSearch  ; SOFT ; http://macinsearch.com/find.cgi?x=62&y=7&BEGIN=0&SEARCH=
Pc Zone        ; SOFT ; http://www.search.zones.com/search/bin/searchinterface.dll?result_template=searchinterface_pc.tem&stemming=y&num_rows=50&stemming=y&Sort_Field=Mfr_Name&fieldName=section_path&fieldmatch0=N/PC_Zone/&value=
PcGame  ; SOFT ; http://www.pcgame.com/finder/search.cgi?s=
Pigeons.net  ; SOFT ; http://pigeons.net/cgi-bin/dbsearch/dbsearch_s.cgi?CONFFILE=/drv1/web/sites/web751c5/cgi-bin/dbsearch/dbsearch.cfg&discript=
PricePulse ; SOFT ; http://www.pricepulse.com/search/shell.cfm?p=search&tab=home&key=
Shareware All ; SOFT ; http://search.shareware.com/code/engine/Find?logop=and&cfrom=quick&orfile=True&hits=25&category=All-Categories&search=
Shareware Mac ; SOFT ; http://search.shareware.com/code/engine/Find?logop=and&cfrom=quick&orfile=True&hits=25&category=Macintosh&search=
Shareware Win ; SOFT ; http://search.shareware.com/code/engine/Find?logop=and&cfrom=quick&orfile=True&hits=25&category=MS-Windows%28all%29&search=
SoftSeek  ; SOFT ; http://search02.softseek.com/cgi-bin/search.cgi?seekindex=index&maxresults=025&cb=&keywords=
Tucows  ; SOFT ; http://search.tucows.com/cgi-bin/webglimpse/webhome/server/htdocs/search?maxlines=20&maxfiles=50&whole=off&errors=0&case=off&query=
VersionTracker  ; SOFT ; http://www.versiontracker.com/search.cgi?SearchType=Search&SearchIn=Both&bool=and&Sort=Date&SearchFor=
WebAttack  ; SOFT ; http://www.webattack.com/cgi-bin/se/search.pl?Range=All&Format=Standard&submit.x=35&submit.y=3&Terms=
WebSitez  ; SOFT ; http://search.websitez.com/search.cgi?search=1&type=1&submit1=Find&key=
AOL            ;WORLD; http://netfind.aol.com/search.gw?lk=excite_netfind2_us&nrm=n&pri=on&xls=b&search=
Northernlight  ;WORLD; http://www.northernlight.com/nlquery.fcg?cb=0&us=025&sb.x=25&sb.y=20&qr=
Open Dir Prj ;WORLD; http://dmoz.org/cgi-bin/search?search=
Starting Point  ;WORLD; http://www.stpt.com/cgi-bin/pwrsrch/altavista.cgi?query=
AltaVista  ;WORLD; http://www.altavista.com/cgi-bin/query?pg=q&what=web&fmt=.&q=
Excite  ;WORLD; http://search.excite.com/search.gw?trace=1&look=excite_netscape_us&sorig=netscape&search=
Google ;WORLD; http://www.google.com/search?num=40&q=
Goto  ;WORLD; http://www.goto.com/d/search/?Keywords=
Hotbot  ;WORLD; http://www.hotbot.com/default.asp?MT=
Identify  ;WORLD; http://www.identify.com/identify.cgi?st=p&w=
Inference Find  ;WORLD; http://www.infind.com/infind/infind.exe?time=7&query=
Infomak        ;WORLD; http://search.infomak.com/?method=and&words=
Infoseek  ;WORLD; http://www.infoseek.com/Titles?qt=
Lycos  ;WORLD; http://www-english.lycos.com/cgi-bin/pursuit?matchmode=and&cat=lycos&query=
Magellan  ;WORLD; http://www.mckinley.com/search.gw?c=web&look=magellan&search=
Matilda        ;WORLD; http://www.aaa.com.au/matilda/nsearch.cgi?query=
Metacrawler  ;WORLD; http://www.metacrawler.com/crawler?method=0&target=&region=0&rpp=20&timeout=5&hpe=10&general=
Savvy Search  ;WORLD; http://williams.cs.colostate.edu:1969/nph-search?classic=on&t1=x&t2=x&t3=x&t4=x&t5=x&t6=x&t7=x&t8=x&t9=x&t10=x&Boolean=AND&Hits=10&Mode=MakePlan&df=normal&AutoStep=on&KW=
Search  ;WORLD; http://www.search.com/Infoseek/1,135,0,0200.html?QUERY=
Snap  ;WORLD; http://home.snap.com/search/directory/results/1,61,home-0,00.html?category=0-0-WW&keyword=
WebCrawler  ;WORLD; http://webcrawler.com/cgi-bin/WebQuery?searchText=
Yahoo  ;WORLD; http://search.yahoo.com/search?p=
